文档 ID,文档名称,文档类型,来源部门,提交人,接收人,签收（章）人,交接日期,保管位置,备注,创建人,创建时间,最后修改人,最后修改时间
57,报销单,财务凭证,,郑销售,财务部,,,,差旅费,sales_rep,2025-04-11 02:43,,2025-04-11 02:43
97,关于统一邮件签名格式的建议,内部建议,,屈助理,IT部,,2024-08-28,,提高专业形象,admin,2025-04-11 02:43,,2025-04-11 02:43
54,启动会纪要,会议纪要,,张经理,李工,王总,2023-10-01,A-101,,admin,2025-04-11 02:43,,2025-04-11 02:43
55,采购单,财务凭证,,赵采购,钱库管,,2023-11-05,库房,加急,user1,2025-04-11 02:43,,2025-04-11 02:43
56,周报,工作报告,,周工,吴主管,,2024-01-08,,本周进展,dev_user,2025-04-11 02:43,,2025-04-11 02:43
62,用户满意度调研问卷结果分析,市场文档,,秦分析员,市场总监,,2024-06-12,市场部共享,包含图表,mkt_user,2025-04-11 02:43,,2025-04-11 02:43
58,设计稿 V1,设计文档,,冯设计,陈产品,史总监,2024-02-15,设计服务器,初稿,designer,2025-04-11 02:43,,2025-04-11 02:43
59,XX项目详细设计说明书,技术文档,,蒋工,测试组,沈经理,2024-03-10,文档库/XX项目,V1.2 版本,admin,2025-04-11 02:43,,2025-04-11 02:43
60,供应商XXX公司年度评估报告,评估报告,,韩采购,采购总监,,2024-04-01,采购部文件柜,,user2,2025-04-11 02:43,,2025-04-11 02:43
61,关于调整办公区域的通知,行政通知,,杨助理,全体员工,朱经理,2024-05-05,,下周一开始执行,admin,2025-04-11 02:43,,2025-04-11 02:43
98,用户反馈问题分类统计 (当月),用户反馈,,侯产品助理,产品经理,,2024-08-30,内部报告,Top 3问题已识别,pm_user,2025-04-11 02:43,,2025-04-11 02:43
63,服务器例行维护操作记录,运维记录,,尤工,许经理,,2024-07-01,运维日志系统,维护窗口：周日凌晨,ops_user,2025-04-11 02:43,,2025-04-11 02:43
64,关于进一步加强集团内部信息安全管理与风险控制措施的若干规定（2024修订版）,规章制度,,何经理,各部门负责人,吕总,2023-12-20,,请各部门组织学习并严格遵守,sec_admin,2025-04-11 02:43,,2025-04-11 02:43
65,中华人民共和国网络安全法解读与企业合规实践指南（内部培训资料）,培训资料,,施律师,各部门合规专员,,2024-01-25,法务部共享盘,重要！涉及法律风险,legal_admin,2025-04-11 02:43,,2025-04-11 02:43
66,面向大规模分布式系统的高可用架构设计原则与最佳实践案例研究报告,技术研究,,孔架构师,技术委员会,,2024-02-28,内部知识库,包含多种方案对比,arch_lead,2025-04-11 02:43,,2025-04-11 02:43
67,针对XXX行业特定需求的定制化CRM解决方案及其预期投资回报率（ROI）分析,解决方案,,曹顾问,销售总监,严经理,2024-03-30,,提供给重点客户参考,presales,2025-04-11 02:43,,2025-04-11 02:43
68,基于机器学习的用户行为预测模型在电商推荐系统中的应用效果评估与优化策略探讨,数据分析,,华博士,产品经理团队,,2024-04-25,数据分析平台报告区,模型准确率提升显著,ds_user,2025-04-11 02:43,,2025-04-11 02:43
69,季度销售数据汇总表,销售报表,,王销售,区域经理,,2024-07-02,销售系统导出,,sales_rep,2025-04-11 02:43,,2025-04-11 02:43
70,员工请假申请单,人事流程,,魏助理,部门经理,,2024-07-05,HR系统,事假申请,hr_user,2025-04-11 02:43,,2025-04-11 02:43
71,软件缺陷跟踪报告 (Bug Report),测试报告,,陶测试,相关开发人员,,2024-07-10,JIRA系统,优先级：高,qa_user,2025-04-11 02:43,,2025-04-11 02:43
72,供应商资质审核文件 - YYY公司,供应商管理,,姜采购,审核小组,,2024-07-15,供应商档案,审核通过,user1,2025-04-11 02:43,,2025-04-11 02:43
73,网站改版项目沟通会议记录,会议纪要,,戚助理,项目相关人,,2024-07-18,项目管理工具,,mkt_user,2025-04-11 02:43,,2025-04-11 02:43
74,服务器硬件升级方案 V1.0,技术方案,,谢工,IT经理,,2024-07-20,IT部文档库,待审批,ops_user,2025-04-11 02:43,,2025-04-11 02:43
75,新功能上线发布通知,产品发布,,邹产品,全体用户,,2024-07-22,产品公告,今晚发布,pm_user,2025-04-11 02:43,,2025-04-11 02:43
76,对外宣传文案 - 新品发布会,市场文案,,喻文案,公关部,,2024-07-25,市场部共享,定稿,mkt_user,2025-04-11 02:43,,2025-04-11 02:43
77,客户回访电话记录 - 王总,客户关系,,柏销售,销售经理,,2024-07-28,CRM,意向明确,sales_rep,2025-04-11 02:43,,2025-04-11 02:43
78,研发人员技术分享会PPT - 微服务,技术分享,,水工,研发团队,,2024-07-30,内部知识库,,dev_user,2025-04-11 02:43,,2025-04-11 02:43
